learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,mean absolute error,root mean squared error,model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1300000.0,49.03125,0.0,1000.0,0.05396764061726439,0.10080764259011214,1300000.0,0.0,9143.0,4572.0,4572.0,26.0,0.0,0.0,1.0
1310000.0,49.59375,0.0,1000.0,0.045919173478520856,0.077783612465384,1310000.0,0.0,9217.0,4609.0,4609.0,26.0,0.0,0.0,1.0
1320000.0,50.125,0.0,1000.0,0.05426598936319281,0.1037165367693504,1320000.0,0.0,9277.0,4639.0,4639.0,26.0,0.0,0.0,1.0
1330000.0,50.6875,0.0,1000.0,0.0512033748078288,0.09007303163257996,1330000.0,0.0,9341.0,4671.0,4671.0,26.0,0.0,0.0,1.0
1340000.0,51.265625,0.0,1000.0,0.04821220988307777,0.08341773485872393,1340000.0,0.0,9437.0,4719.0,4719.0,26.0,0.0,0.0,1.0
1350000.0,51.84375,0.0,1000.0,0.04985790484900898,0.08479389772962435,1350000.0,0.0,9503.0,4752.0,4752.0,26.0,0.0,0.0,1.0
1360000.0,52.4375,0.0,1000.0,0.05348827596164217,0.09760096998038882,1360000.0,0.0,9585.0,4793.0,4793.0,26.0,0.0,0.0,1.0
1370000.0,53.03125,0.0,1000.0,0.05311310896740744,0.09786288573996603,1370000.0,0.0,9639.0,4820.0,4820.0,26.0,0.0,0.0,1.0
1380000.0,53.59375,0.0,1000.0,0.05138941286484997,0.09499796299593014,1380000.0,0.0,9711.0,4856.0,4856.0,26.0,0.0,0.0,1.0
1390000.0,54.171875,0.0,1000.0,0.0532489257199422,0.09634176436702596,1390000.0,0.0,9791.0,4896.0,4896.0,26.0,0.0,0.0,1.0
1400000.0,54.75,0.0,1000.0,0.049214950752728186,0.09130087503084011,1400000.0,0.0,9853.0,4927.0,4927.0,26.0,0.0,0.0,1.0
1410000.0,55.328125,0.0,1000.0,0.048147002880723294,0.09033772436551692,1410000.0,0.0,9925.0,4963.0,4963.0,26.0,0.0,0.0,1.0
1420000.0,55.90625,0.0,1000.0,0.04740500114531447,0.08848356549175111,1420000.0,0.0,10003.0,5002.0,5002.0,26.0,0.0,0.0,1.0
1430000.0,56.5,0.0,1000.0,0.04820551623469425,0.08505899332955062,1430000.0,0.0,10075.0,5038.0,5038.0,26.0,0.0,0.0,1.0
1440000.0,57.078125,0.0,1000.0,0.05123752269448881,0.09593712072006289,1440000.0,0.0,10139.0,5070.0,5070.0,26.0,0.0,0.0,1.0
1450000.0,57.671875,0.0,1000.0,0.0482767681671656,0.08804906406569929,1450000.0,0.0,10205.0,5103.0,5103.0,26.0,0.0,0.0,1.0
1460000.0,58.265625,0.0,1000.0,0.04547898473212246,0.08718210202348838,1460000.0,0.0,10283.0,5142.0,5142.0,26.0,0.0,0.0,1.0
1470000.0,58.859375,0.0,1000.0,0.045872267647354054,0.08338474734970816,1470000.0,0.0,10371.0,5186.0,5186.0,26.0,0.0,0.0,1.0
1480000.0,59.453125,0.0,1000.0,0.04699272656571028,0.08742589620321713,1480000.0,0.0,10433.0,5217.0,5217.0,26.0,0.0,0.0,1.0
1490000.0,60.03125,0.0,1000.0,0.04649655598865493,0.08801360009094937,1490000.0,0.0,10509.0,5255.0,5255.0,26.0,0.0,0.0,1.0
1500000.0,60.609375,0.0,1000.0,0.05003705402865289,0.09686409850416444,1500000.0,0.0,10605.0,5303.0,5303.0,26.0,0.0,0.0,1.0
1510000.0,61.203125,0.0,1000.0,0.043772609499557184,0.07957012904829787,1510000.0,0.0,10655.0,5328.0,5328.0,26.0,0.0,0.0,1.0
1520000.0,61.8125,0.0,1000.0,0.048659699094662494,0.08439595919872137,1520000.0,0.0,10727.0,5364.0,5364.0,26.0,0.0,0.0,1.0
1530000.0,62.421875,0.0,1000.0,0.048102293848484017,0.08479881404497115,1530000.0,0.0,10797.0,5399.0,5399.0,26.0,0.0,0.0,1.0
1540000.0,63.015625,0.0,1000.0,0.04792053499225896,0.09003236711004291,1540000.0,0.0,10859.0,5430.0,5430.0,26.0,0.0,0.0,1.0
1550000.0,63.625,0.0,1000.0,0.04603604228734975,0.0812593964147806,1550000.0,0.0,10943.0,5472.0,5472.0,26.0,0.0,0.0,1.0
1560000.0,64.25,0.0,1000.0,0.047954797540612555,0.08996306744174552,1560000.0,0.0,11007.0,5504.0,5504.0,26.0,0.0,0.0,1.0
1570000.0,64.859375,0.0,1000.0,0.05220218169339006,0.09690501311830273,1570000.0,0.0,11093.0,5547.0,5547.0,26.0,0.0,0.0,1.0
1580000.0,65.46875,0.0,1000.0,0.04515577798633136,0.08129841448420859,1580000.0,0.0,11189.0,5595.0,5595.0,26.0,0.0,0.0,1.0
1590000.0,66.078125,0.0,1000.0,0.0457619345723657,0.08210753185476541,1590000.0,0.0,11251.0,5626.0,5626.0,26.0,0.0,0.0,1.0
